window_start,Site,Nutrient,Concentration
1988-01-05,BQ1,no3n_ugL,155.06666666666666
1988-01-05,BQ1,k_mgL,0.8066666666666666
1988-01-05,BQ1,mg_mgL,2.1926666666666668
1988-01-05,BQ1,ca_mgL,3.42
1988-01-05,BQ1,nh4n_ugL,27.533333333333335
1988-03-08,BQ1,no3n_ugL,207.8125
1988-03-08,BQ1,k_mgL,0.89
1988-03-08,BQ1,mg_mgL,1.976875
1988-03-08,BQ1,ca_mgL,3.084375
1988-03-08,BQ1,nh4n_ugL,22.125
1988-05-10,BQ1,no3n_ugL,157.5
1988-05-10,BQ1,k_mgL,0.8811111111111111
1988-05-10,BQ1,mg_mgL,2.183
1988-05-10,BQ1,ca_mgL,2.9850000000000003
1988-05-10,BQ1,nh4n_ugL,90.625
1988-07-12,BQ1,no3n_ugL,63
1988-07-12,BQ1,k_mgL,0.7607692307692308
1988-07-12,BQ1,mg_mgL,1.9523076923076923
1988-07-12,BQ1,ca_mgL,2.686923076923077
1988-07-12,BQ1,nh4n_ugL,15.5
1988-09-13,BQ1,no3n_ugL,140.55555555555554
1988-09-13,BQ1,k_mgL,0.7925
1988-09-13,BQ1,mg_mgL,2.43875
1988-09-13,BQ1,ca_mgL,3.665
1988-09-13,BQ1,nh4n_ugL,50.25
1988-11-15,BQ1,no3n_ugL,153.625
1988-11-15,BQ1,k_mgL,0.8444444444444444
1988-11-15,BQ1,mg_mgL,2.3722222222222222
1988-11-15,BQ1,ca_mgL,4.15125
1988-11-15,BQ1,nh4n_ugL,NA
1989-01-17,BQ1,no3n_ugL,130.11111111111111
1989-01-17,BQ1,k_mgL,0.9088888888888889
1989-01-17,BQ1,mg_mgL,2.783333333333333
1989-01-17,BQ1,ca_mgL,4.293333333333333
1989-01-17,BQ1,nh4n_ugL,NA
1989-03-21,BQ1,no3n_ugL,141.88888888888889
1989-03-21,BQ1,k_mgL,0.8544444444444445
1989-03-21,BQ1,mg_mgL,2.738888888888889
1989-03-21,BQ1,ca_mgL,4.444444444444445
1989-03-21,BQ1,nh4n_ugL,NA
1989-05-23,BQ1,no3n_ugL,123
1989-05-23,BQ1,k_mgL,0.9477777777777777
1989-05-23,BQ1,mg_mgL,2.901111111111111
1989-05-23,BQ1,ca_mgL,4.5344444444444445
1989-05-23,BQ1,nh4n_ugL,NA
1989-07-25,BQ1,no3n_ugL,88.375
1989-07-25,BQ1,k_mgL,0.9344444444444444
1989-07-25,BQ1,mg_mgL,2.6466666666666665
1989-07-25,BQ1,ca_mgL,4.042222222222222
1989-07-25,BQ1,nh4n_ugL,NA
1989-09-26,BQ1,no3n_ugL,415.7142857142857
1989-09-26,BQ1,k_mgL,1.3208333333333333
1989-09-26,BQ1,mg_mgL,3.0154545454545456
1989-09-26,BQ1,ca_mgL,4.2290909090909095
1989-09-26,BQ1,nh4n_ugL,NA
1989-11-28,BQ1,no3n_ugL,99
1989-11-28,BQ1,k_mgL,1.1466666666666667
1989-11-28,BQ1,mg_mgL,3.2266666666666666
1989-11-28,BQ1,ca_mgL,5.8566666666666665
1989-11-28,BQ1,nh4n_ugL,NA
1990-01-30,BQ1,no3n_ugL,211.375
1990-01-30,BQ1,k_mgL,1.2344444444444445
1990-01-30,BQ1,mg_mgL,3.1666666666666665
1990-01-30,BQ1,ca_mgL,5.546666666666667
1990-01-30,BQ1,nh4n_ugL,NA
1990-04-03,BQ1,no3n_ugL,450.30769230769226
1990-04-03,BQ1,k_mgL,1.3628571428571428
1990-04-03,BQ1,mg_mgL,2.5492857142857144
1990-04-03,BQ1,ca_mgL,4.312857142857143
1990-04-03,BQ1,nh4n_ugL,NA
1990-06-05,BQ1,no3n_ugL,143.77777777777777
1990-06-05,BQ1,k_mgL,1.1555555555555554
1990-06-05,BQ1,mg_mgL,3.2333333333333334
1990-06-05,BQ1,ca_mgL,5.4944444444444445
1990-06-05,BQ1,nh4n_ugL,NA
1990-08-07,BQ1,no3n_ugL,80.83333333333334
1990-08-07,BQ1,k_mgL,0.8844444444444445
1990-08-07,BQ1,mg_mgL,3.2688888888888887
1990-08-07,BQ1,ca_mgL,5.841111111111111
1990-08-07,BQ1,nh4n_ugL,NA
1990-10-09,BQ1,no3n_ugL,108.5
1990-10-09,BQ1,k_mgL,1.007
1990-10-09,BQ1,mg_mgL,2.832
1990-10-09,BQ1,ca_mgL,4.603
1990-10-09,BQ1,nh4n_ugL,NA
1990-12-11,BQ1,no3n_ugL,155.375
1990-12-11,BQ1,k_mgL,0.983
1990-12-11,BQ1,mg_mgL,2.988
1990-12-11,BQ1,ca_mgL,5.297
1990-12-11,BQ1,nh4n_ugL,NA
1991-02-12,BQ1,no3n_ugL,65.9
